Struktur_ID,Jahr,Hermelin,Iltis,Dachs,Eichhörnchen,Fuchs,Marder,Frosch,Vogel,Mäuse,Hauskatze
Str31,2019,,,,x,,x,,,x,x
Str60,2019,,,x,,x,,,x,x,x
Str63,2019,,,,,x,x,,x,x,x
Str116,2019,-,-,-,-,-,-,-,-,-,-
Str196,2019,x,,,x,x,x,,x,x,x
Str198,2019,-,-,-,-,-,-,-,-,-,-
Str238,2019,x,,,,x,x,x,,x,x
Str302,2019,,,x,,x,x,,x,x,x
Str12747,2019,,,,,,x,,,,x
Str13955,2019,,x,,,x,x,,x,x,x
Str13956,2019,x,x,,,,x,,x,x,x
Str31,2020,,,,,,,,,,x
Str60,2020,,,x,,x,,,,,x
Str63,2020,,,,,x,,,,,x
Str116,2020,x,,,,x,,,,,x
Str196,2020,,,,,,,,x,x,
Str198,2020,,,,,,,,x,x,x
Str238,2020,,,,,,,,x,,
Str302,2020,,,,,x,,,,,
Str12747,2020,-,-,-,-,-,-,-,-,-,-
Str13955,2020,,,,,,,,,,x
Str13956,2020,,x,,,,,,x,,x
